A/ao|magnus, magni, maior, maximus|groß
A/k1|ingens, ingentis, ingentior, ingentissimus|gewaltig, ungeheuer
A/k1|felix, felicis, felicior, felicissimus|glücklich
A/k1|constans, constantis, constantior, constantissimus|beständig
A/k2|utilis, utilis, utilior, utilissimus|nützlich
A/k2|facilis, facilis, facilior, facillimus|leicht zu tun
A/k3|celer, celeris, celerior, celerrimus|schnell
A/k3|acer, acris, acrior, acerrimus|scharf
# S. 51 + 62
