#|Lektion 46 / jh|
b|umquam|jemals
a/k2/p|qualis, qualis|wie (beschaffen)
a/ao/p|adversus, adversi|gegen, entgegen
v/k/pa|odisse, odi, osum|hassen
a/k2|brevis, brevis, brevior, brevissimus|kurz
v/a|iudicare, iudico, iudicavi, iudicatum|beurteilen, urteilen
b|ne|dass nicht, damit nicht
v/k|fingere, fingo, finxi, finctum|gestalten, sich ausdenken
v/k|permittere, permitto, permisi, permussum|erlauben, überlassen
v/a|temperare, tempero, temperavi, temperatum|sich fernhalten von, maßvoll gebrauchen, lenken, ordnen
a/ao/p|alienus, alieni|fremd
b|omnino|insgesamt, völlig
v/e/a|latere, lateo, latui|verborgen sein
w|quod maius est|was noch wichtiger ist
w|in deum credere|an Gott glauben
w|inter eos constat|es steht für sie fest
s/a|forma, formae|Form, Gestalt
v/k|addere, addo, addidi, additum|hinzufügen
w|bene facere, quod|gut daran tun, dass
s/k/n|lumen, luminis|Licht, Auge
a/ao|dignus, digni, dignior, dignissimus|wert, würdig
