#|Lektion 47 / jh|
v/k|exigere, exigo, exegi, exactum|fordern, einfordern, vollenden
w|usque ad|bis zu
b|quoniam|da ja, da nun
b|sane|allerdings, gewiss
v/i|comperire, comperio, comperi, compertum|erfahren
a/ao/p|conscius, conscii|bewusst, eingeweiht
v/k/x|quaesere, quaeso|bitten
v/ferre|praeferre, praefero, praetuli, praelatum|vorziehen
a/ao/p|notus, noti|bekannt
s/o/n|simulacrum, simulacri|Bild, Bildnis, Nachbildung
w|aio|behaupte ich, sage ich
s/!|animal, animalis|Tier, Lebewesen
a/ao/p|nefarius, nefarii|gottlos, verbrecherisch
s/k|imago, imaginis|Abbild, Bild
v/a|praedicare, praedico, praedicavi, praedicatum|behaupten
v/a|peccare, pecco, peccavi, peccatum|sündigen
v/k|diligere, diligo, dilexi, dilectum|hochachten, lieben
v/i|reperire, reperio, repperi, repertum|wiederfinden, finden
