s/k|auctor, auctoris, m|der/ ein Gewährsmann, der/ein Förderer, der/ein Urheber
o|fere|fast, beinahe
v/!|referre, refero, rettuli, relatum|zurückbringen, berichten
v/!|auferre, aufero, abstuli, ablatum|wegtragen, wegreißen
s/a|ripa, ripae, f|das/ein Ufer
v/k|exponere, expono, exposui, expositum|ausstellen, aussetzen
s/k|clamor, clamoris, m|das/ein Geschenk, der/ein Lärm
o|forte|zufällig
v/a/!|ferre, fero, tuli, latum|tragen, bringen, ertragen
s/k/p|parentes, parentum, m|Eltern
s/k/s|parens, parentis, m/f|Elternteil
v/a|educare, educo, educavi, educatum|erziehen
v/ki|interficere, interficio, interfeci, interfectum|töten, umbringen
a/ao/p|vivus, vivi|lebendig, unverbraucht
s/k|civitas, civitatis, f|die/eine Bürgschaft, die/eine Stadt
s/k/n|nomen, nominis, n|der/ein Name
o|quia|weil, da
v/k|consulere, consulo, consului, consultum|mit Akk. um Rat fragen, mit Dat. sorgen für
s/o|murus, muri, m|die/eine Mauer
a/ao/p|aeger, aegri|leidend, schmerzlich
o|aegere ferre|mit Mühe/ kaum ertragen
o|adhuc|bis jetzt
v/e|irridere, irrideo, irrisi, irrisum|verspotten
v/e|commovere, commoveo, commovi, commotum|bewegen, verlassen
