o|utinam (ne)|(mit Konj.)  Wenn doch (nicht), Hoffentlich (nicht)
o|utrum ... an|ob...oder
s/o|barbarus, barbari, m|der/ein Ausländer, der/ein Fremder, der/ein Barbar
o|ipse, ipsa, ipsum|selbst
v/a|optare, opto, optavi, optatum|wünschen
o|plerique, pleraeque, pleraque|die meisten
s/k|opinio, opinionis, f|die/eine Meinung, das/eine Gerücht, die/eine Erwartung
a/ao/p|primus, primi|erster, vorderter, vornehmster
a/ao/p|ultimus, ultimi|letzter, äußerster
v/k|excedere, excedo, excessi, excessum|herausgehen, verlassen
s/k|laus, laudis, f|das/ein Lob, (der) Ruhm
s/k|consul, consulis, m|der/ein Konsul (oberster Beamter)
s/k|legio, legionis, f|die/eine Legion
s/u|lacus, lacus, m|der/ein See
s/u|senatus, senatus, m|der/ein Senat, die/eine Senatsversammlung
s/o|populus, populi, m|das/ein Volk, die/eine Menge
o|quare|dadurch, wodurch?
v/a|implorare, imploro, imploravi, imploratum|flehentlich bitten, erflehen
v/!|solere, soleo|gewohnt sein
v/k|vertere, verto, verti, versum|drehen, wenden
o|erga|(mit Akk.) gegen, gegenüber (freundlich)
v/a|conservare, conservo, conservavi, conservatum|erhalten, bewahren, retten
o|prius|früher, eher
v/k|deponere, depono, deposui, depositum|niederlegen, ablegen
o|usque ad|(mit Akk.) bis zu
s/u|metus, metus, m|(die) Furcht, (die) Angst
a/ao/p|verus, veri|wahr, echt, wirklich
a/ao/p|sanctus, sancti|heilig
s/a|avaritia, avaritiae, f|(die) Habgier, (der) Geiz
s/a|pugna, pugnae, f|der/ein Kampf, die/eine Schlacht
s/o|captivus, captivi, m|der/ein Gefangener
s/a|clementia, clementiae, f|(die) Milde
s/o/n|pretium, pretii, n|der/ein Preis
v/k|dimittere, dimitto, dimisi, dimissum|wegschicken, entlassen
a/ao/p|alter, alteri|der eine (von beiden), der andere
v/a|orare, oro, oravi, oratum|bitten
o|huc|hierher
v/!|conferre, confero, contuli, collatum|zusammentragen, vergleichen
o|se conferre|sich begeben
