o|quod|dass
s/a/p|insidiae, insidiarum, f|dr/ein Hinterhalt, die/eine Falle
o|ut|(so) dass, damit, um...zu
s/k|hospes, hospitis, m|der/ein Geld
s/o/n|signum, signi, n|das/ein Zeichen
v/!|deferre, defero, detuli, delatum|wegtragen, (hin-)tragen
o|ne|dass nicht, damit nicht
o|cum|weil, nachdem, als, obwohl
v/a|violare, violo, violavi, violatum|verletzen
a/k1|diligens, diligentis, diligentior, diligentissimus|sorgfältig, gewissenhaft
s/u|impetus, impetus, m|der/ein Angriff
s/o/n|consilium, consilii, n|der/ein Entschluss, der/ein Plan; die/ eine Beratung
o|consilium capere|einen Entschluss fassen
o|clam|heimlich
v/k/a|accidere, accido, accidi|sich ereignen, zustoßen
o|accidit, accidit|es ereignet sich
v/a|invadere, invado, invasi, invasum|angreifen, überfallen, eindringen
o|tam|so
s/o|maritus, mariti, m|der/ein Ehemann
o|medius, medii|in der Mitte gelegen, mitten
v/ki|inicere, inicio, inieci, iniectum|hinein-, hinwerfen
v/a|imperare, impero, imperavi, imperatum|befehlen
s/o|animus, animi, m|der/ein Geist, das/eine Gemüt
v/k|ponere, pono, posui, positum|setzen, legen, stellen
o|sic|so
